bckoff/ id user _txt,bckoff/ date,structure/ id method,bp/ title _txt,bp/ description _txt,bp/ keywords _txt,display/ archive _boolean,bp/ source _txt,structure/ id step _txt
FcB0PWK7TaWqF7qOKRuJEg,19/05/2022 19:10:12,fe832c8c-2920-4299-abd8-225eb5237a26,Avoir accès aux interlocuteurs clés,"- “Nous vous posons beaucoup de questions précises pour vous faire la meilleure offre possible (cela vous valorisera en interne).
- “Pouvons-nous appeler les autres parties prenantes pour compléter

Sans réponse : proposer de rédiger une note avec toutes questions sans lesquelles on ne pourra répondre",2,,,
FcB0PWK7TaWqF7qOKRuJEg,19/05/2022 19:16:43,fe832c8c-2920-4299-abd8-225eb5237a26,Remettre une offre,"Avant de finaliser la rédaction, utiliser des questions verrous : 
- “Si l'on vous propose cette solution, signez-vous now ?” (une fois compris les challenges précisément)
- ""Qu’est-ce qui vous ferait ne pas choisir notre offre ?""
- Chacun doit faire une bonne affaire, notamment les équipes travailleront ensemble par la suite

Remise de l'offre : 
- Refuser d’envoyer une offre sans date de soutenance définie (”Nous passons du temps à préparer donc nous souhaitons pouvoir en parler”)
- Amener la proposition - ou la présenter en visio - au client (et non l'envoyer par email) afin de collecter la réaction à chaud et éventuellement la modifier (évite de laisser l'acheteur se faire des idées fausses + bien repositionner le besoin, les questions ouvertes, la réponse)",2,,,
FcB0PWK7TaWqF7qOKRuJEg,19/05/2022 19:36:17,fe832c8c-2920-4299-abd8-225eb5237a26,Prospecting by email,"1. Careful in email object
ex. Partnership [prospect] - Company
2. Speak of the client before Company
3. No call-to-action or html (risk on formating)
4. Finish by proposing 3 dates, but can 'not be blunt' via parenthesis usage, ex. I would be happy to discuss with you (for instance on the X, Y or Z).",2,,,
NXiqO13kQ8WBis9Nz46GPw,19/05/2022 23:14:39,fe832c8c-2920-4299-abd8-225eb5237a26,"""It's too expensive !"" ","In general: give the price as late as possible, ideally after co-creating the proposal with the clients (which obliges her/him to spend time); otherwise, given this is what she/he expects the more, risk of having no news any more.
If obliged, provide a wide range of price ""There are a lot of parameters, that we need to fine tune together""
Nb : more applicable for immature tech and when there is no need to comply with a formal RFP.

To the ""It's too expensive"" remark:
1. Ask why and listen to rational (try to come back to core issue) 
2. Check value is understood (with focus on solving the core issue): ""What value would our offering created last year if you had it?"" [nb: if our offering is not creating value, sometimes better to stop the process]

3. Co-construct by proposing to withdraw some elements (enables to focus on what is really important) or to get more from the client (ex. testimonials): there must have a ""price"" for the client if we reduce the price
",2,,,
p8CmevxyTA6dOuNnm-CDuQ,16/06/2022 10:29:01,fe832c8c-2920-4299-abd8-225eb5237a26,70% LTV after year 1,"General statistics show that deal closing ('land') only accounts for 30% of LTV on a recurring business. 

Illustrates importance of Customer Success, including in its 
- cross-up selling dimension ('expand')
- ability to deploy to numerous entities within a client  ",2/3/06,,Book 'Winning by Design' ,
p8CmevxyTA6dOuNnm-CDuQ,16/06/2022 10:49:22,fe832c8c-2920-4299-abd8-225eb5237a26, ('saas-o-meter') ,"SaaS changed rules of the game in sales
- deals can be closed quicker since no  on-premise setup + lower cost BUT can also be stopped quicker since lower exit barriers -> negociate long term contract
- Clients records expense as an Ooex vs Capex, hence decisions go quicker ",29,,,
p8CmevxyTA6dOuNnm-CDuQ,16/06/2022 14:16:17,fe832c8c-2920-4299-abd8-225eb5237a26,"""Pouvons-nous faire un POC ?""","1. Quel budget ? 

2. Quels kpi fait basculer en contrat ? (signer bon de cde avec modalités post Poc, et si annulé pas en fin de Poc bascule en contrat long terme)


    ",2,,Various podcasts,
p8CmevxyTA6dOuNnm-CDuQ,16/06/2022 14:28:07,fe832c8c-2920-4299-abd8-225eb5237a26,Feedback au client,"En ppt (pas pdf) pour que le client puisse le customiser pour sa communication interne
",2,,,
r6CvZ-VKQyKhEjER7PFK9A,16/06/2022 15:22:36,fe832c8c-2920-4299-abd8-225eb5237a26,Avant de démarrer : le deal a-t-il du potentiel ?,"- créons-nous vraiment de la valeur ? (notamment par rapport à la situation sans notre solution)
- y-a-t-il un sponsor engagé & puissant ?
- la LTV est-elle intéressante ?",1,,,
r6CvZ-VKQyKhEjER7PFK9A,16/06/2022 15:23:16,fe832c8c-2920-4299-abd8-225eb5237a26,Vendre = créer la confiance,"Confiance = 
+ Crédibilité (ex. réseaux sociaux) 
+ Fiabilité (ex. références clients ou partenaires) 
+ Intimité (introductions, relations communes) ",2,,,
r6CvZ-VKQyKhEjER7PFK9A,16/06/2022 15:24:21,fe832c8c-2920-4299-abd8-225eb5237a26,Powermap & Decision,"Comprendre le processus de décision (utiliser le mindmapping)

Percevoir types de décideurs et leurs attentes individuelles :
- produits: choisi selon critères et prix → attention voudra quotation rapide (à éviter)
- solution: a un pb à résoudre → trouver le pourquoi
- résultats: CA, coûts... -> démontrer le ROI",2,,,
r6CvZ-VKQyKhEjER7PFK9A,16/06/2022 15:25:36,fe832c8c-2920-4299-abd8-225eb5237a26,"Ne pas vendre, être acheté","Les prospects ne sont pas toujours conscients du problème à résoudre.

- ""Nous avons X use cases, l’un d’eux répond-il à votre besoin-problème"" ?
- Aller au fond du besoin et s'intéresser vraiment à pourquoi le prospect fait ce projet -> pourquoi, pourquoi, pourquoi ?
- S’autoriser la créativité, think “blue ocean”",2,,,
r6CvZ-VKQyKhEjER7PFK9A,16/06/2022 15:28:01,fe832c8c-2920-4299-abd8-225eb5237a26,Piloter le processus de présentation - négociation ,"Au fil du process, évaluer ses chances de gagner par milestones concrets (j'ai validé ma valeur à créer, j'ai le ok de roadmap to deal... )
(via un crm ou simple excel (feu rouge à vert)

https://aymard-ds.notion.site/f7aca66251474a1d993762696fc50f61?v=e5141c86e3214741869a60b59a2e7a6a

1. Déclencheur/enjeux de la demande -> y répondons-nous (si ‘non’ abandonner)
2. Interlocuteur initial (rôle) et suivants
3. Technicité du cahier des charges
4. Contraintes du clients et habitudes d’achat & travail (très dur à changer, donc s’y adapter)
5. Concurrence et position
6. Environnement dans laquelle s’insère la solution
7. Processus de décision
8. Accès au budget et comment est-il débloqué",3,,https://aymard-ds.notion.site/f7aca66251474a1d993762696fc50f61?v=e5141c86e3214741869a60b59a2e7a6a,
r6CvZ-VKQyKhEjER7PFK9A,16/06/2022 15:28:01,BRavlp6vScCqol5h7jljiA,SHAREHOLDERS OBJECTIVES = STRAT. FILTERS,"At the end of the day, the CEO must define a strategy enabling to achieve the company's owners expectations",1,,,5KCj9-s4QCerivaN-LIOmQ
FcB0PWK7TaWqF7qOKRuJEg,01/10/2023 17:32:24,BRavlp6vScCqol5h7jljiA,SET-UP MARKET WHATCH,"Google alerts, Feedbly, Subscribe to newsletters",1,,,5KCj9-s4QCerivaN-LIOmQ
FcB0PWK7TaWqF7qOKRuJEg,01/10/2023 19:12:30,BRavlp6vScCqol5h7jljiA,NO POWERPOINT,"Provide teams with templates on Notion so that they can focus on added-value tasks.
Anytime possible, consider these templates as the deliverables",1,,,NSgyuJwaRJmFkxPZGFQUTg
FcB0PWK7TaWqF7qOKRuJEg,02/10/2023 0:08:42,BRavlp6vScCqol5h7jljiA,PROJECTS BALANCE,Consider having 10% highly innovative projects and 20% innovative ones,12,,,g8ZLBIaiTyGLWLY9Rqhk5A
FcB0PWK7TaWqF7qOKRuJEg,02/10/2023 0:10:42,BRavlp6vScCqol5h7jljiA,QUICK WINS,"When defining a plan, whatever the area, always try to find quick-wins: 
- satisfy the Board/ExCom
- motivates teams",2,,,g8ZLBIaiTyGLWLY9Rqhk5A
